,CalendarClass,Position,Specific_lr,Type_calendar,Multi_Emb,TE_transfer,single_station,epoch,PICP,MPIW,valid_loss,train_loss,fold
0,3,input,False,tuple,False,False,False,-1,0.32988158330573036,148.1122589111328,,,0
0,3,input,False,tuple,False,False,False,1,0.9014450149055979,439.7348937988281,0.02965908034363463,0.06758305410895214,0
0,3,input,False,tuple,False,False,False,2,0.9589267969526333,479.9663391113281,0.02299323565038984,0.02950258497928583,0
0,3,input,False,tuple,False,False,False,-1,4.55448824113945e-05,52.862979888916016,,,1
0,3,input,False,tuple,False,False,False,1,0.870420669095727,379.9287109375,0.02292150957103724,0.07319722686795546,1
0,3,input,False,tuple,False,False,False,2,0.9541984100695594,447.9696044921875,0.021408936479240148,0.030101729085438785,1
0,3,input,False,tuple,False,False,False,-1,0.0,-71.621826171875,,,2
0,3,input,False,tuple,False,False,False,1,0.7534158661808545,210.8678436279297,0.034304373515268105,0.08965689877865554,2
0,3,input,False,tuple,False,False,False,2,0.9434084133819145,369.45849609375,0.022617415950212053,0.028914897695934173,2
0,3,input,False,tuple,False,False,False,-1,8.280887711162637e-06,-52.619293212890625,,,3
0,3,input,False,tuple,False,False,False,1,0.8403569062603511,260.04815673828125,0.05140247025840707,0.055754544051239675,3
0,3,input,False,tuple,False,False,False,2,0.9340137462736006,320.296142578125,0.03230218182011136,0.024340987778626956,3
